state,year,quarter,suppression_used,total_prescriptions
mi,2019,3,FALSE,189
mi,2019,3,TRUE,0
mi,2019,4,FALSE,161
mi,2019,4,TRUE,0
mi,2020,1,NA,186
mn,2017,1,FALSE,300
mn,2017,1,TRUE,0
mn,2017,2,FALSE,321
mn,2017,2,TRUE,0
mn,2017,3,FALSE,273
mn,2017,3,TRUE,0
mn,2017,4,FALSE,274
mn,2017,4,TRUE,0
mn,2018,1,FALSE,143
mn,2018,1,TRUE,0
mn,2018,2,FALSE,139
mn,2018,2,TRUE,0
mn,2018,3,FALSE,138
mn,2018,3,TRUE,0
mn,2018,4,FALSE,175
mn,2018,4,TRUE,0
mn,2019,1,FALSE,176
mn,2019,1,TRUE,0
mn,2019,2,FALSE,178
mn,2019,2,TRUE,0
mn,2019,3,FALSE,152
mn,2019,3,TRUE,0
mn,2019,4,FALSE,129
mn,2019,4,TRUE,0
mn,2020,1,NA,110
mo,2017,1,FALSE,197
mo,2017,2,FALSE,210
mo,2017,3,FALSE,240
mo,2017,4,FALSE,232
mo,2018,1,FALSE,235
mo,2018,2,FALSE,241
mo,2018,3,FALSE,219
mo,2018,4,FALSE,235
mo,2019,1,FALSE,228
mo,2019,2,FALSE,205
mo,2019,3,FALSE,156
mo,2019,3,TRUE,0
mo,2019,4,FALSE,119
mo,2019,4,TRUE,0
mo,2020,1,NA,75
ms,2017,1,FALSE,73
ms,2017,1,TRUE,0
ms,2017,2,FALSE,79
ms,2017,2,TRUE,0
ms,2017,3,FALSE,73
ms,2017,3,TRUE,0
ms,2017,4,FALSE,69
ms,2017,4,TRUE,0
ms,2018,1,FALSE,73
ms,2018,1,TRUE,0
ms,2018,2,FALSE,60
ms,2018,2,TRUE,0
ms,2018,3,FALSE,65
ms,2018,3,TRUE,0
ms,2018,4,FALSE,58
ms,2018,4,TRUE,0
ms,2019,1,FALSE,59
ms,2019,1,TRUE,0
ms,2019,2,FALSE,46
ms,2019,2,TRUE,0
ms,2019,3,FALSE,24
ms,2019,3,TRUE,0
ms,2019,4,FALSE,22
ms,2019,4,TRUE,0
ms,2020,1,NA,21
mt,2017,1,FALSE,61
mt,2017,2,FALSE,68
mt,2017,3,FALSE,70
mt,2017,4,FALSE,88
mt,2018,1,FALSE,68
mt,2018,2,FALSE,86
mt,2018,3,FALSE,88
mt,2018,4,FALSE,101
mt,2019,1,FALSE,88
mt,2019,2,FALSE,94
mt,2019,3,FALSE,88
mt,2019,3,TRUE,0
mt,2019,4,FALSE,64
mt,2019,4,TRUE,0
mt,2020,1,NA,54
nc,2017,1,FALSE,772
nc,2017,2,FALSE,646
nc,2017,3,FALSE,767
nc,2017,4,FALSE,643
nc,2018,1,FALSE,691
nc,2018,2,FALSE,582
nc,2018,3,FALSE,640
nc,2018,4,FALSE,544
nc,2019,1,FALSE,623
nc,2019,2,FALSE,461
nc,2019,3,FALSE,530
nc,2019,3,TRUE,0
nc,2019,4,FALSE,410
nc,2019,4,TRUE,0
nc,2020,1,NA,246
nd,2017,1,TRUE,0
nd,2017,2,TRUE,0
nd,2017,3,TRUE,0
nd,2017,4,TRUE,0
nd,2018,1,TRUE,0
nd,2018,2,TRUE,0
nd,2018,3,TRUE,0
nd,2018,4,TRUE,0
nd,2019,1,TRUE,0
nd,2019,2,TRUE,0
nd,2019,3,TRUE,0
nd,2019,4,TRUE,0
