state,year,quarter,gennme_c,suppression_used,total_prescriptions
in,2019,3,Febuxostat,FALSE,256
in,2019,3,Febuxostat,TRUE,0
in,2019,4,Febuxostat,FALSE,290
in,2019,4,Febuxostat,TRUE,0
in,2020,1,Febuxostat,NA,264
ks,2017,1,Febuxostat,FALSE,43
ks,2017,2,Febuxostat,FALSE,126
ks,2017,3,Febuxostat,FALSE,38
ks,2017,3,Febuxostat,TRUE,0
ks,2017,4,Febuxostat,FALSE,57
ks,2018,1,Febuxostat,FALSE,58
ks,2018,2,Febuxostat,FALSE,55
ks,2018,3,Febuxostat,FALSE,52
ks,2018,4,Febuxostat,FALSE,55
ks,2019,1,Febuxostat,FALSE,50
ks,2019,2,Febuxostat,FALSE,51
ks,2019,3,Febuxostat,FALSE,32
ks,2019,3,Febuxostat,TRUE,0
ks,2019,4,Febuxostat,FALSE,13
ks,2019,4,Febuxostat,TRUE,0
ks,2020,1,Febuxostat,NA,29
ky,2017,1,Febuxostat,FALSE,774
ky,2017,1,Febuxostat,TRUE,0
ky,2017,2,Febuxostat,FALSE,304
ky,2017,2,Febuxostat,TRUE,0
ky,2017,3,Febuxostat,FALSE,759
ky,2017,3,Febuxostat,TRUE,0
ky,2017,4,Febuxostat,FALSE,800
ky,2017,4,Febuxostat,TRUE,0
ky,2018,1,Febuxostat,FALSE,714
ky,2018,1,Febuxostat,TRUE,0
ky,2018,2,Febuxostat,FALSE,686
ky,2018,2,Febuxostat,TRUE,0
ky,2018,3,Febuxostat,FALSE,721
ky,2018,3,Febuxostat,TRUE,0
ky,2018,4,Febuxostat,FALSE,711
ky,2018,4,Febuxostat,TRUE,0
ky,2019,1,Febuxostat,FALSE,696
ky,2019,1,Febuxostat,TRUE,0
ky,2019,2,Febuxostat,FALSE,657
ky,2019,2,Febuxostat,TRUE,0
ky,2019,3,Febuxostat,FALSE,547
ky,2019,3,Febuxostat,TRUE,0
ky,2019,4,Febuxostat,FALSE,552
ky,2019,4,Febuxostat,TRUE,0
ky,2020,1,Febuxostat,NA,505
la,2017,1,Febuxostat,FALSE,225
la,2017,1,Febuxostat,TRUE,0
la,2017,2,Febuxostat,FALSE,283
la,2017,2,Febuxostat,TRUE,0
la,2017,3,Febuxostat,FALSE,274
la,2017,3,Febuxostat,TRUE,0
la,2017,4,Febuxostat,FALSE,312
la,2018,1,Febuxostat,FALSE,291
la,2018,1,Febuxostat,TRUE,0
la,2018,2,Febuxostat,FALSE,288
la,2018,2,Febuxostat,TRUE,0
la,2018,3,Febuxostat,FALSE,289
la,2018,3,Febuxostat,TRUE,0
la,2018,4,Febuxostat,FALSE,259
la,2018,4,Febuxostat,TRUE,0
la,2019,1,Febuxostat,FALSE,261
la,2019,1,Febuxostat,TRUE,0
la,2019,2,Febuxostat,FALSE,218
la,2019,2,Febuxostat,TRUE,0
la,2019,3,Febuxostat,FALSE,169
la,2019,3,Febuxostat,TRUE,0
la,2019,4,Febuxostat,FALSE,145
la,2019,4,Febuxostat,TRUE,0
la,2020,1,Febuxostat,NA,155
ma,2017,1,Febuxostat,FALSE,222
ma,2017,2,Febuxostat,FALSE,254
ma,2017,3,Febuxostat,FALSE,227
ma,2017,4,Febuxostat,FALSE,230
ma,2018,1,Febuxostat,FALSE,244
ma,2018,2,Febuxostat,FALSE,266
ma,2018,3,Febuxostat,FALSE,241
ma,2018,4,Febuxostat,FALSE,255
ma,2019,1,Febuxostat,FALSE,238
ma,2019,2,Febuxostat,FALSE,264
ma,2019,3,Febuxostat,FALSE,187
ma,2019,3,Febuxostat,TRUE,0
ma,2019,4,Febuxostat,FALSE,217
ma,2019,4,Febuxostat,TRUE,0
ma,2020,1,Febuxostat,NA,214
md,2017,1,Febuxostat,FALSE,220
md,2017,1,Febuxostat,TRUE,0
md,2017,2,Febuxostat,FALSE,220
md,2017,3,Febuxostat,FALSE,214
md,2017,4,Febuxostat,FALSE,248
md,2017,4,Febuxostat,TRUE,0
